Rank,Title,Author,Price,URL
1,"Helden","Frank Schätzing","","https://www.ebook.de/de/product/48301473/frank_schaetzing_helden.html"
2,"Pyrit - Herrschaft der Zeit","Katharina Santa","","https://www.ebook.de/de/product/48943690/katharina_santa_pyrit_herrschaft_der_zeit.html"
3,"Wie Risse in der Erde","Clare Leslie Hall","","https://www.ebook.de/de/product/49156721/clare_leslie_hall_wie_risse_in_der_erde.html"
4,"Winterküsse auf Amrum","Nele Hansen","","https://www.ebook.de/de/product/51839192/nele_hansen_winterkuesse_auf_amrum_ein_weihnachtlicher_liebesroman_an_der_nordsee.html"
5,"Die Kastanienschwestern","Christine Jaeggi","","https://www.ebook.de/de/product/50331811/christine_jaeggi_die_kastanienschwestern.html"
6,"Sophie L.","Matthew Blake","","https://www.ebook.de/de/product/50414584/matthew_blake_sophie_l.html"
7,"Die Kryptografin","Hanna Aden","","https://www.ebook.de/de/product/50302599/hanna_aden_die_kryptografin.html"
8,"Der Mann gegenüber","Danilo Fender","","https://www.ebook.de/de/product/50233154/danilo_fender_der_mann_gegenueber.html"
9,"Dreamslinger - Der Ruf des Drachen","Graci Kim","","https://www.ebook.de/de/product/50384485/graci_kim_dreamslinger_der_ruf_des_drachen.html"
10,"Bernsteintränen","Izabelle Jardin","","https://www.ebook.de/de/product/52011667/izabelle_jardin_bernsteintraenen.html"
11,"Der Fall Leni Bauer","Petra Hammesfahr","","https://www.ebook.de/de/product/50272570/petra_hammesfahr_der_fall_leni_bauer.html"
12,"Der Weihnachtsmannkiller 3","Klaus-Peter Wolf","","https://www.ebook.de/de/product/50414577/klaus_peter_wolf_der_weihnachtsmannkiller_3.html"
13,"Im Bruchteil der Sekunde","David Baldacci","","https://www.ebook.de/de/product/50857850/david_baldacci_im_bruchteil_der_sekunde.html"
14,"Nacht der Ruinen","Cay Rademacher","","https://www.ebook.de/de/product/49350162/cay_rademacher_nacht_der_ruinen.html"
15,"Verraten","Jussi Adler-Olsen","","https://www.ebook.de/de/product/47044944/jussi_adler_olsen_verraten.html"
16,"Es ist noch nicht vorbei","Amy Jordan","","https://www.ebook.de/de/product/50342536/amy_jordan_es_ist_noch_nicht_vorbei.html"
17,"Die Chemie des Verbrechens - Die Fährte","Sabine Weiß","","https://www.ebook.de/de/product/50384596/sabine_weiss_die_chemie_des_verbrechens_die_faehrte.html"
18,"Apfelstrudel-Alibi","Rita Falk","","https://www.ebook.de/de/product/51366983/rita_falk_apfelstrudel_alibi.html"
19,"Tod und Teufel","Frank Schätzing","","https://www.ebook.de/de/product/48312804/frank_schaetzing_tod_und_teufel.html"
20,"Die Stunde der Fälscher","Jeffrey Archer","","https://www.ebook.de/de/product/50100776/jeffrey_archer_die_stunde_der_faelscher.html"
21,"Die Nacht","Marc Raabe","","https://www.ebook.de/de/product/46304536/marc_raabe_die_nacht.html"
22,"Tod und Ebbe","Katharina Drüppel","","https://www.ebook.de/de/product/51221530/katharina_drueppel_tod_und_ebbe_der_nordseekrimi_mit_einer_taffen_ermittlerin.html"
23,"Lupus","Tibor Rode","","https://www.ebook.de/de/product/47931608/tibor_rode_lupus.html"
24,"The Secret of Secrets","Dan Brown","","https://www.ebook.de/de/product/49910445/dan_brown_the_secret_of_secrets.html"
25,"Wir waren nur Mädchen","Buzzy Jackson","","https://www.ebook.de/de/product/47243582/buzzy_jackson_wir_waren_nur_maedchen.html"
26,"Wollschwein und Winterleiche","Ladina Bordoli","","https://www.ebook.de/de/product/51800732/ladina_bordoli_wollschwein_und_winterleiche_ein_humorvoller_alpenkrimi.html"
27,"Stonehenge - Die Kathedrale der Zeit","Ken Follett","","https://www.ebook.de/de/product/49157373/ken_follett_stonehenge_die_kathedrale_der_zeit.html"
28,"Das Flüstern des Lebens","Katharina Fuchs","","https://www.ebook.de/de/product/47080979/katharina_fuchs_das_fluestern_des_lebens.html"
29,"Das Narrenschiff","Christoph Hein","","https://www.ebook.de/de/product/49205388/christoph_hein_das_narrenschiff.html"
30,"Sommergeheimnisse in der Villa Limoni","Sophia Liebesglück","","https://www.ebook.de/de/product/52198584/sophia_liebesglueck_sommergeheimnisse_in_der_villa_limoni.html"
31,"Der Wolf im dunklen Wald","Sia Piontek","","https://www.ebook.de/de/product/49317347/sia_piontek_der_wolf_im_dunklen_wald.html"
32,"Am Hang des Todes","Lenz Koppelstätter","","https://www.ebook.de/de/product/50357638/lenz_koppelstaetter_am_hang_des_todes.html"
33,"Jünger geht immer!","Ellen Berg","","https://www.ebook.de/de/product/49407682/ellen_berg_juenger_geht_immer.html"
34,"Pi mal Daumen","Alina Bronsky","","https://www.ebook.de/de/product/47938152/alina_bronsky_pi_mal_daumen.html"
35,"Oma, Ouzo und andere Katastrophen","Thorsten Steffens","","https://www.ebook.de/de/product/51500410/thorsten_steffens_oma_ouzo_und_andere_katastrophen.html"
36,"Eine schöne Leich","Lisa Graf","","https://www.ebook.de/de/product/47485764/lisa_graf_eine_schoene_leich.html"
37,"Was wir verschwiegen haben","Christian Schirmer","","https://www.ebook.de/de/product/52124445/christian_schirmer_was_wir_verschwiegen_haben.html"
38,"Die Vertuschung","Mick Saunter","","https://www.ebook.de/de/product/50076353/mick_saunter_die_vertuschung.html"
39,"Es bleibt doch in der Familie","Christiane Wünsche","","https://www.ebook.de/de/product/50414581/christiane_wuensche_es_bleibt_doch_in_der_familie.html"
40,"Küstenmord","Eva Jensen","","https://www.ebook.de/de/product/47693146/eva_jensen_kuestenmord_die_unsichtbaren_toten.html"
41,"Das Jahr voller Bücher und Wunder","Libby Page","","https://www.ebook.de/de/product/50302382/libby_page_das_jahr_voller_buecher_und_wunder.html"
42,"Der Nachbar","Sebastian Fitzek","","https://www.ebook.de/de/product/50358044/sebastian_fitzek_der_nachbar.html"
43,"Rostiges Grab","Anders De La Motte","","https://www.ebook.de/de/product/51466348/anders_de_la_motte_rostiges_grab.html"
44,"Liebeskummer & Lametta","Gina Greifenstein","","https://www.ebook.de/de/product/50768023/gina_greifenstein_liebeskummer_lametta.html"
45,"Die Kollegin - Wer hat sie so sehr gehasst, dass sie sterben musste?","Freida McFadden","","https://www.ebook.de/de/product/49119650/freida_mcfadden_die_kollegin_wer_hat_sie_so_sehr_gehasst_dass_sie_sterben_musste.html"
46,"Nachtgebet","Jeffery Deaver","","https://www.ebook.de/de/product/51705321/jeffery_deaver_nachtgebet.html"
47,"Todesflut","Katharina Peters","","https://www.ebook.de/de/product/50391290/katharina_peters_todesflut.html"
48,"Sie Fur Immer Zu Erobern (Mann der Rocky Mountains, #1)","Alexis Winter","","https://www.ebook.de/de/product/51954464/alexis_winter_sie_fur_immer_zu_erobern_mann_der_rocky_mountains_1.html"
49,"Drei Schwestern","O. J. Mullen","","https://www.ebook.de/de/product/50779864/o_j_mullen_drei_schwestern_ein_fesselnder_psychothriller_der_unter_die_haut_geht.html"
